paper_number,paper_identifier,source_json_file,experimental_record_count,records_with_experiment_level_source_evidence,records_with_paper_level_provenance_only
441,https://doi.org/10.1007/s10694-020-00963-5,s10694-020-00963-5_extracted.json,9,9,0
442,https://doi.org/10.1007/s10694-020-00974-2,s10694-020-00974-2_extracted.json,6,6,0
443,https://doi.org/10.1007/s10694-020-00976-0,s10694-020-00976-0_extracted.json,6,6,0
444,https://doi.org/10.1007/s10694-020-00978-y,s10694-020-00978-y_extracted.json,1,1,0
445,https://doi.org/10.1007/s10694-020-00984-0,s10694-020-00984-0_extracted.json,16,16,0
446,https://doi.org/10.1007/s10694-020-00995-x,s10694-020-00995-x_extracted.json,5,5,0
447,https://doi.org/10.1007/s10694-022-01273-8,s10694-022-01273-8_extracted.json,4,4,0
448,https://doi.org/10.1007/s10694-022-01320-4,s10694-022-01320-4_extracted.json,2,2,0
449,https://doi.org/10.1007/s10694-022-01321-3,s10694-022-01321-3_extracted.json,24,24,0
450,https://doi.org/10.1007/s10694-022-01322-2,s10694-022-01322-2_extracted.json,3,3,0
451,https://doi.org/10.1007/s10694-022-01351-x,s10694-022-01351-x_extracted.json,4,4,0
452,https://doi.org/10.1007/s10694-023-01383-x,s10694-023-01383-x_extracted.json,1,1,0
453,https://doi.org/10.1007/s10694-024-01609-6,s10694-024-01609-6_extracted.json,7,7,0
454,https://doi.org/10.1007/s10694-024-01611-y,s10694-024-01611-y_extracted.json,6,6,0
455,https://doi.org/10.1007/s10694-024-01630-9,s10694-024-01630-9_extracted.json,11,11,0
456,https://doi.org/10.1007/s10694-024-01631-8,s10694-024-01631-8_extracted.json,7,7,0
457,https://doi.org/10.1007/s10694-024-01687-6,s10694-024-01687-6_extracted.json,11,11,0
458,https://doi.org/10.1007/s10694-025-01703-3,s10694-025-01703-3_extracted.json,3,3,0
459,https://doi.org/10.1007/s10694-025-01708-y,s10694-025-01708-y_extracted.json,4,4,0
460,https://doi.org/10.1007/s10694-025-01723-z,s10694-025-01723-z_extracted.json,12,12,0
461,https://doi.org/10.1007/s10800-025-02269-2,s10800-025-02269-2_extracted.json,1,1,0
